"chr"	"length"	"half"
1	230218	115109
2	813184	406592
3	316620	158310
4	1531933	765966.5
5	576874	288437
6	270161	135080.5
7	1090940	545470
8	562643	281321.5
9	439888	219944
10	745751	372875.5
11	666816	333408
12	1078177	539088.5
13	924431	462215.5
14	784333	392166.5
15	1091291	545645.5
16	948066	474033
