gene_id	chr	gene_name	start	end	strand	description
YAL069W	1		335	649	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL068W-A	1		538	792	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL068C	1	PAU8	2169	1807	C	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions
YAL067W-A	1		2480	2707	W	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL067C	1	SEO1	9016	7235	C	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
YAL066W	1		10091	10399	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL065C	1		11951	11565	C	Putative protein of unknown function; has homology to FLO1; possible pseudogene
YAL064W-B	1		12046	12426	W	Fungal-specific protein of unknown function
YAL064C-A	1	TDA8	13743	13363	C	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
YAL064W	1		21566	21850	W	Protein of unknown function; may interact with ribosomes, based on co-purification experiments
YAL063C-A	1		22685	22395	C	Putative protein of unknown function; identified by expression profiling and mass spectrometry
YAL063C	1	FLO9	27968	24000	C	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation
YAL062W	1	GDH3	31567	32940	W	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication
YAL061W	1	BDH2	33448	34701	W	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
YAL060W	1	BDH1	35155	36303	W	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source
YAL059W	1	ECM1	36509	37147	W	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
YAL059C-A	1		36918	36496	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W
YAL058W	1	CNE1	37464	38972	W	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
